Designator,Value,Package,MidX,MidY,Rotation,Layer
"IC3","LTC4361ITS8-2#TRMPBF","LTC4361ITS8-2#TRMPBF",83.360000,47.930000,0.000000,top
"L1","BLM15HG102SN1D","C_0402_1005Metric",37.410000,83.755000,0.000000,top
"L2","56nH","L_01005_0402Metric",69.330000,88.540000,180.000000,top
"L3","56nH","L_01005_0402Metric",67.990000,88.620000,180.000000,top
"L4","15nH","L_01005_0402Metric",69.340000,92.030000,270.000000,top
"L5","27nH","L_01005_0402Metric",72.170000,95.410000,180.000000,top
"L6","27nH","L_01005_0402Metric",70.120000,92.020000,270.000000,top
"L7","43nH","L_01005_0402Metric",68.590000,92.070000,270.000000,top
"L8","15nH","L_01005_0402Metric",66.700000,88.640000,180.000000,top
"L9","22nH","L_01005_0402Metric",65.220000,92.080000,270.000000,top
"L10","Capacitor_SMD:C_0402_1005Metric","C_0402_1005Metric",76.110000,60.055000,0.000000,top
"L11","6.8nH","L_01005_0402Metric",61.700000,92.020000,0.000000,top
"L12","150 nH","L_01005_0402Metric",106.985000,62.430000,0.000000,top
"L13","180 nH","L_01005_0402Metric",71.120000,90.440000,0.000000,top
"L14","Taiyo Yuden ","L_01005_0402Metric",53.535000,91.930000,0.000000,top
"L15","19 nH","L_01005_0402Metric",105.485000,62.405000,0.000000,top
"L16","91 nH","L_01005_0402Metric",100.710000,64.480000,0.000000,top
"L17","91 nH","L_01005_0402Metric",103.810000,62.205000,0.000000,top
"L18","4.3 nH","L_01005_0402Metric",51.010000,91.955000,0.000000,top
"L19","120 nH","L_01005_0402Metric",105.910000,60.755000,90.000000,top
"L20","43 nH","L_01005_0402Metric",102.685000,62.805000,0.000000,top
"L21","75 nH","L_01005_0402Metric",104.660000,57.930000,90.000000,top
"Q2","FDMS8050","SOT-323_SC-70",58.860000,52.430000,0.000000,top
"Q3","FDMS8050","SOT-323_SC-70",83.860000,51.430000,0.000000,top
"R1","10K","R_0603_1608Metric",46.860000,65.305000,0.000000,top
"R2","10K","R_0603_1608Metric",50.590000,46.060000,0.000000,top
"R3","10K","R_0603_1608Metric",87.190000,94.870000,0.000000,top
"R4","0","R_0402_1005Metric",86.690000,96.160000,0.000000,top
"R5","0","R_0402_1005Metric",67.980000,98.010000,180.000000,top
"R6","0","R_0402_1005Metric",86.660000,93.550000,0.000000,top
"R7","0","R_0402_1005Metric",65.120000,85.810000,0.000000,top
"R8","0","R_0402_1005Metric",86.520000,85.010000,180.000000,top
"R9","0","R_0402_1005Metric",74.160000,86.700000,270.000000,top
"R10","0","R_0402_1005Metric",86.550000,92.480000,0.000000,top
"R11","0","R_0402_1005Metric",76.310000,86.550000,270.000000,top
"R12","0","R_0402_1005Metric",89.280000,94.740000,270.000000,top
"R13","0","R_0402_1005Metric",89.620000,92.740000,270.000000,top
"R14","0","R_0402_1005Metric",70.880000,87.560000,0.000000,top
"R15","0.025R","R_0603_1608Metric",61.660000,85.550000,0.000000,top
"R16","0.025R","R_0603_1608Metric",80.860000,47.930000,90.000000,top
"R17","0.025R","R_0603_1608Metric",58.860000,45.930000,0.000000,top
"R18","56K","R_0402_1005Metric",86.410000,90.340000,0.000000,top
"R19","18","R_0402_1005Metric",76.370000,84.460000,270.000000,top
"R20","0","R_0402_1005Metric",91.285000,68.280000,180.000000,top
"R21","0","R_0402_1005Metric",91.235000,71.780000,0.000000,top
"R22","0","R_0402_1005Metric",91.260000,72.930000,0.000000,top
"R23","0","R_0402_1005Metric",91.210000,73.955000,0.000000,top
"R24","0","R_0402_1005Metric",86.490000,86.170000,180.000000,top
"R25","0","R_0402_1005Metric",93.335000,75.830000,0.000000,top
